Song Name,Singer Name,Youtube urls,Emotions
Philadelphia Freedom,Elton John,https://www.youtube.com/watch?v=hwcmvKvc91Q,Freedom
Before the Next Teardrop Falls,Freddy Fender,https://www.youtube.com/watch?v=xsCTKMwvK20,No specific emotions found.
My Eyes Adored You,Frankie Valli,https://www.youtube.com/watch?v=vYtpKBNTCB8,Success
Some Kind of Wonderful,Grand Funk Railroad,https://www.youtube.com/watch?v=dxEKa4dlKVw,Wonder
Shining Star,"Earth, Wind & Fire",https://www.youtube.com/watch?v=Zu9a29UR2dU,No specific emotions found.
Fame,David Bowie,https://www.youtube.com/watch?v=9tnRWcEg6i8,No specific emotions found.
Laughter in the Rain,Neil Sedaka,https://www.youtube.com/watch?v=MtIibcNDQ6o,"Rock, Melody, Pop"
One of These Nights,Eagles,https://www.youtube.com/watch?v=ESc2Tq2HzhQ,"Dissatisfaction, Hopeful, Anger, Pop, Journey, Rock, Disco, House, Country, Folk, Hope, Bluegrass, Satisfaction, Desire"
Thank God I'm a Country Boy,John Denver,https://www.youtube.com/watch?v=Un76G6mZgCY,"Inspiration, Country"
Jive Talkin',Bee Gees,https://www.youtube.com/watch?v=oALKAh_bL5g,"Celtic, Funk, Wonder, Pop, Rock, Fun, Shame, Country"
Best of My Love,Eagles,https://www.youtube.com/watch?v=iU-wXrdh-8U,Love
Lovin' You,Minnie Riperton,https://www.youtube.com/watch?v=K7MqTrXwojk,"Success, Pop, Acoustic, Hip-hop, Rock, Melody, Urban, Soul, Dismay, Ambient, Wonder, House, Reggae, Love, Joy, Conflict, Complexity, Jazz, Unity, Indie, Adventure"
Kung Fu Fighting,Carl Douglas,https://www.youtube.com/watch?v=RqIw42FL3l0,"Soul, Melody, Wonder, Pop, Amusement, Disco, Love"
Black Water,The Doobie Brothers,https://www.youtube.com/watch?v=m4oZCtfmh44,No specific emotions found.
The Ballroom Blitz,Sweet,https://www.youtube.com/watch?v=tqketmsRz1E,"Glam rock, Acoustic, Rock, Industrial, Desolation"
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,https://www.youtube.com/watch?v=QyrRYIrhLL0,"Urban, Country, Pop, Success"
He Don't Love You (Like I Love You),Tony Orlando and Dawn,https://www.youtube.com/watch?v=Iak3KnPVZ94,"Joy, Success, Rock, Fury, Regret, Love"
At Seventeen,Janis Ian,https://www.youtube.com/watch?v=VMUz2TNMvL0,"Loneliness, Success, Pop, Acoustic, Rock, Disco, Folk, Hope, Disappointment, Melody, Hopeful, Soul, Surprise, Confusion, Identity, Soft rock, Intensity, Ambient, Bittersweet, K-pop, Courage, House, Fear, Blues, Elation, Love, Believe, Joy, Conflict, Comfort, Morning, Jazz, Melancholy, Reluctance"
Pick Up the Pieces,Average White Band,https://www.youtube.com/watch?v=xpflST8xWm8,No specific emotions found.
The Hustle,Van McCoy & the Soul City Symphony,https://www.youtube.com/watch?v=wj23_nDFSfE,No specific emotions found.
Lady Marmalade,Labelle,https://www.youtube.com/watch?v=t4LWIP7SAjY,"Soul, Funk, Celebration, Hip-hop, Pop, Rock, Disco, Soulful, Fun, Unity, Excitement, Love, Melody, Country"
Why Can't We Be Friends?,War,https://www.youtube.com/watch?v=sH0Qda32IKM,No specific emotions found.
Love Won't Let Me Wait,Major Harris,https://www.youtube.com/watch?v=zG9K0x5MGDc,"Soul, Love, Jazz, Pop"
Boogie On Reggae Woman,Stevie Wonder,https://www.youtube.com/watch?v=MkmlHBf3Yak,"Soul, Funk, Success, Pop, Wonder, Vocal style, Fun, Reggae, Blues, Melody"
Wasted Days and Wasted Nights,Freddy Fender,https://www.youtube.com/watch?v=ZGN5Bn7EKN4,"Rock, Country, Pop, Blues"
Angie Baby,Helen Reddy,https://www.youtube.com/watch?v=UQKyGt_I5L4,"Joy, Melody, Rock, House, Desire, Folk, Love, Urban"
Fight the Power,The Isley Brothers,https://www.youtube.com/watch?v=8QZvoOqUkqw,No specific emotions found.
Jackie Blue,Ozark Mountain Daredevils,https://www.youtube.com/watch?v=Qr0hcoksupQ,"Trust, Zen, Success, Defeat"
Fire,Ohio Players,https://www.youtube.com/watch?v=zRtajmICBnU,"Success, Pop, Anger, Rock, Disco, Classical, Escape, Lust, Intensity, Ambient, Zen, Courage, House, Growth, Love, Resistance, Agony, Industrial, Desire"
Magic,Pilot,https://www.youtube.com/watch?v=MzlK0OGpIRs,No specific emotions found.
Please Mr. Postman,The Carpenters,https://www.youtube.com/watch?v=AHfddvbKb4w,"Soul, Success, Rock, Disco, Morning, Soulful, Playfulness, Love, Blues, Melody"
Sister Golden Hair,America,https://www.youtube.com/watch?v=XIycEe59Auc,"Love, Pop"
Lucy in the Sky with Diamonds,Elton John,https://www.youtube.com/watch?v=zJtAAg_jAjk,"Success, Acoustic, Pop, Rock, Disco, Freedom, Disappointment, Melody, Escape, Surprise, Ambient, Wonder, Doubt, Connection, Believe, Love, Inspiration, Satisfaction, Anger"
Mandy,Barry Manilow,https://www.youtube.com/watch?v=AvGpvQbkccE,No specific emotions found.
Have You Never Been Mellow,Olivia Newton-John,https://www.youtube.com/watch?v=t2S1nmxYmUg,"Success, Pop, Rock, Soft rock, Melody, Country"
Could It Be Magic,Barry Manilow,https://www.youtube.com/watch?v=UC7oRmafIVQ,"Soul, Melody, Success, Pop, Disco, Innocence, Love, Inspiration"
Cat's in the Cradle,Harry Chapin,https://www.youtube.com/watch?v=gTP7NEZDQr8,"Success, Folk rock, Pop, Rock, Lust, House, Folk, Elation, Country"
Wildfire,Michael Martin Murphey,https://www.youtube.com/watch?v=8raV2MZQJjk,"Anxiety, Success, Pop, Rock, Disco, Heavy metal, Fun, Classical, Urban, Compromise, Escape, Confusion, Confidence, Intensity, Ambient, Relief, Zen, Courage, House, Growth, Fear, Elation, Love, Country, Industrial, Anger"
I'm Not Lisa,Jessi Colter,https://www.youtube.com/watch?v=ZOgTVJOdFVU,"Crossover, Wonder, Success, Pop, Rock, Love, Country"
Listen to What the Man Said,Wings,https://www.youtube.com/watch?v=YxslbXDBmaY,"Joy, Celebration, Melody, Believe, Pop, Vocal style, Jazz, Hope, Love"
I'm Not in Love,10cc,https://www.youtube.com/watch?v=STugQ0X1NoI,"Joy, Melody, Wonder, Pop, Euphoria, Rock, Journey, Acoustic, Strength, Upbeat, Elation, Love, Inspiration"
I Can Help,Billy Swan,https://www.youtube.com/watch?v=tBBw1MEOMWI,"Crossover, Success, Acoustic, Pop, Rock, Amusement, Love, Country, Longing"
Fallin' in Love,"Hamilton, Joe Frank & Reynolds",https://www.youtube.com/watch?v=TviRQl5FvU0,Love
Feelings,Morris Albert,https://www.youtube.com/watch?v=sr_yaZQmRzA,"Ambivalence, Trust, Joy, Anxiety, Sadness, Legacy, Believe, Desire, Happiness, Fun, Hope, Excitement, Elation, Love, Anger"
When Will I Be Loved,Linda Ronstadt,https://www.youtube.com/watch?v=MiUvPr3_6iE,Love
Chevy Van,Sammy Johns,https://www.youtube.com/watch?v=nsBPsPl9BZE,No specific emotions found.
"You're the First, the Last, My Everything",Barry White,https://www.youtube.com/watch?v=E7zmRvhFEYo,"Soul, Pop, Disco, Inspiration, Country"
Please Mr. Please,Olivia Newton-John,https://www.youtube.com/watch?v=Z6-INkIW0dw,"Sorrow, Success, Pop, Elation, Country"
Silly Love Songs,Wings,https://www.youtube.com/watch?v=ap87QgZKTNw,"Pleasure, Pop, Rock, Disco, House, Awe, Love, Country"
Don't Go Breaking My Heart,"Elton John,Kiki Dee,",https://www.youtube.com/watch?v=z0qW9P-uYfM,"Joy, Soul, Rock, Ambition, Fun, Sacrifice"
Disco Lady,Johnnie Taylor,https://www.youtube.com/watch?v=qOPYn1l1pvw,"Disco, Funk, Pop, Fun"
"December, 1963 (Oh, What a Night)",The Four Seasons,https://www.youtube.com/watch?v=zHmKP0uQNLg,"Melody, Pop, Rock, Disco, Harmony, Country, Fun, Love, Anger"
Play That Funky Music,Wild Cherry,https://www.youtube.com/watch?v=SFiv9M577a4,"Soul, Funk, Success, Pop, Rock, Disco, Fun"
Kiss and Say Goodbye,The Manhattans,https://www.youtube.com/watch?v=wtjro7_R3-4,"Soul, Melody, Success, Pop, Pride, Anger, Wonder, Morning, Disco, Folk, Love, Country"
Love Machine,The Miracles,https://www.youtube.com/watch?v=WHcQ5wRZ9iU,Love
50 Ways to Leave Your Lover,Paul Simon,https://www.youtube.com/watch?v=ABXtWqmArUU,"Love, Melody, Success, Pop"
Love Is Alive,Gary Wright,https://www.youtube.com/watch?v=KO75Ct234nc,Love
A Fifth of Beethoven,Walter Murphy,https://www.youtube.com/watch?v=0ouMaLRth-s,"Joy, Success, Pop, Believe, Rock, Disco, Courage, Love, Classical"
Sara Smile,Hall & Oates,https://www.youtube.com/watch?v=dYEpFJhuu1E,"Soul, Success, Believe, Hip-hop, Anger, House, Love, Country"
Afternoon Delight,Starland Vocal Band,https://www.youtube.com/watch?v=wu1UXCdyNo0,"Country, Pop, Fun"
I Write the Songs,Barry Manilow,https://www.youtube.com/watch?v=934QpLtK05s,"Love, Pop"
"Fly, Robin, Fly",Silver Convention,https://www.youtube.com/watch?v=oUPdG4DA42g,"Disco, Soul, Success"
Love Hangover,Diana Ross,https://www.youtube.com/watch?v=yOzO_4NS8NI,"Soul, Disco, Love, Comfort"
Get Closer,Seals and Crofts,https://www.youtube.com/watch?v=6aSvzT7nuF4,No specific emotions found.
"More, More, More",Andrea True Connection,https://www.youtube.com/watch?v=73RYirgeLV4,"Soul, Funk, Success, Pop, Rock, Disco, House, Fun, Faith, Connection, Love"
Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=P3nng0HOhC4,"Success, Pop, Freedom, Rock, Anger, Heavy metal, Folk, Fun, Hope, Shame, Melody, Classical, Soul, Escape, Confidence, Intensity, Resignation, Zen, Passion, Betrayal, House, Fear, Regret, Elation, Connection, Love, Believe, Inspiration, Art rock, Joy, Harmony, Fury, Unity, Desire"
Misty Blue,Dorothy Moore,https://www.youtube.com/watch?v=RMONGMDEerI,"Soul, Success, Pop, Morning, Soulful, Blues, Love, Country"
Boogie Fever,The Sylvers,https://www.youtube.com/watch?v=YHKCHvpYq_8,"Disco, Soul, Pop"
I'd Really Love to See You Tonight,England Dan & John Ford Coley,https://www.youtube.com/watch?v=P8RShs00yR0,"Funk, Acoustic, Fun, Love, Country"
You Sexy Thing,Hot Chocolate,https://www.youtube.com/watch?v=E3fX2_bxEkg,"Soul, Soulful, Pop, Fun"
Love Hurts,Nazareth,https://www.youtube.com/watch?v=soDZBW-1P04,"Soul, Success, Pop, Rock, Harmony, Love, Country"
Get Up and Boogie,Silver Convention,https://www.youtube.com/watch?v=hKGrfC1860o,"Disco, Success, Pop"
Take It to the Limit,Eagles,https://www.youtube.com/watch?v=tJkW0Clsvrk,No specific emotions found.
"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,https://www.youtube.com/watch?v=l3fZuW-aJsg,Soul
Sweet Love,Commodores,https://www.youtube.com/watch?v=OPT3ZzxJlRM,Love
Right Back Where We Started From,Maxine Nightingale,https://www.youtube.com/watch?v=ckCwBAhz4oc,"Success, Pop, Wonder, Comfort, Disco, Rock, Doubt, Admiration, Anger"
Theme from ,Rhythm Heritage,https://www.youtube.com/watch?v=eS-GcJEsTBo,Page not found.
Love Rollercoaster,Ohio Players,https://www.youtube.com/watch?v=9VH6yD8zobM,"Funk, Success, Rock, Country, Fun, Love, Adventure, Urban"
You Should Be Dancing,Bee Gees,https://www.youtube.com/watch?v=_JoZS6LgqYI,"Soul, Vocal style, Rock, Disco, Love, Melody"
You'll Never Find Another Love Like Mine,Lou Rawls,https://www.youtube.com/watch?v=7RPjCUhHzsU,"Love, Pop"
Golden Years,David Bowie,https://www.youtube.com/watch?v=1Dx2XPdmvpY,No specific emotions found.
Moonlight Feels Right,Starbuck,https://www.youtube.com/watch?v=HYnQsvtfEsQ,"Disco, Pop, Courage"
Only Sixteen,Dr. Hook,https://www.youtube.com/watch?v=olQNes_mq8I,Success
Let Your Love Flow,The Bellamy Brothers,https://www.youtube.com/watch?v=FQQj2rQBFvA,"Joy, Success, Rock, House, Faith, Love, Country"
Dream Weaver,Gary Wright,https://www.youtube.com/watch?v=xZKuzwPOefs,"Disco, Pop"
Turn the Beat Around,Vicki Sue Robinson,https://www.youtube.com/watch?v=vz9pZW5OvM4,"Disco, Soul, Pop"
Lonely Night (Angel Face),Captain & Tennille,https://www.youtube.com/watch?v=a2pA8XZRb7c,"Love, Pop"
All by Myself,Eric Carmen,https://www.youtube.com/watch?v=iN9CjAfo5n0,"Melody, Success, Pop, Passion, Rock, Surprise, Anger, Faith, Love, Country"
Love to Love You Baby,Donna Summer,https://www.youtube.com/watch?v=V5AztWseIdU,Love
